text [862, 175, 959, 944]崔憬曰山高而降津下而外山澤通氣咸之
text [108, 764, 195, 779]1
text [108, 779, 195, 794]1
text [108, 794, 195, 809]1
text [108, 809, 195, 824]1
text [108, 824, 195, 839]1
text [108, 839, 195, 854]1
text [108, 854, 195, 869]1
text [108, 869, 195, 884]1
text [108, 884, 195, 899]1
text [108, 899, 195, 914]1
text [108, 914, 195, 929]1
text [108, 929, 195, 944]1
text [108, 944, 195, 959]1
text [108, 959, 195, 974]1
text [108, 974, 195, 989]1
text [108, 989, 195, 994]1
text [108, 994, 195, 999]1
text [108, 0, 195, 14]1
text [108, 14, 195, 29]1
text [108, 29, 195, 44]1
text [108, 44, 195, 59]1
text [108, 59, 195, 74]1
text [108, 74, 195, 89]1
text [108, 89, 195, 104]1
text [108, 104, 195, 119]1
text [108, 119, 195, 134]1
text [108, 134, 195, 149]1
text [108, 149, 195, 164]1
text [108, 164, 195, 179]1
text [108, 179, 195, 194]1
text [108, 194, 195, 209]1
text [108, 209, 195, 224]1
text [108, 224, 195, 239]1
text [108, 239, 195, 254]1
text [108, 254, 195, 269]1
text [108, 269, 195, 284]1
text [108, 284, 195, 299]1
text [108, 299, 195, 314]1
text [108, 314, 195, 329]1
text [108, 329, 195, 344]1
text [108, 344, 195, 359]1
text [108, 359, 195, 374]1
text [108, 374, 195, 389]1
text [108, 389, 195, 404]1
text [108, 404, 195, 419]1
text [108, 419, 195, 434]1
text [108, 434, 195, 449]1
text [108, 449, 195, 464]1
text [108, 464, 195, 479]1
text [108, 479, 195, 494]1
text [108, 494, 195, 509]1
text [108, 509, 195, 524]1
text [108, 524, 195, 539]1
text [108, 539, 195, 554]1
text [108, 554, 195, 569]1
text [108, 569, 195, 584]1
text [108, 584, 195, 599]1
text [108, 599, 195, 614]1
text [108, 614, 195, 629]1
text [108, 629, 195, 644]1
text [108, 644, 195, 659]1
text [108, 659, 195, 674]1
text [108, 674, 195, 689]1
text [108, 689, 195, 704]1
text [108, 704, 195, 719]1
text [108, 719, 195, 734]1
text [108, 734, 195, 749]1
text [108, 749, 195, 764]1
text [108, 764, 195, 779]1
text [108, 779, 195, 794]1
text [108, 794, 195, 809]1
text [108, 809, 195, 824]1
text [108, 824, 195, 839]1
text [108, 839, 195, 854]1
text [108, 854, 195, 869]1
text [108, 869, 195, 884]1
text [108, 884, 195, 899]1
text [108, 899, 195, 914]1
text [108, 914, 195, 929]1
text [108, 929, 195, 944]1
text [108, 944, 195, 959]1
text [108, 959, 195, 974]1
text [108, 974, 195, 989]1
text [108, 989, 195, 994]1
text [108, 994, 195, 999]1
text [108, 0, 195, 14]1
text [108, 14, 195, 29]1
text [108, 29, 195, 44]1
text [108, 44, 195, 59]1
text [108, 59, 195, 74]1
text [108, 74, 195, 89]1
text [108, 89, 195, 104]1
text [108, 104, 195, 119]1
text [108, 119, 195, 134]1
text [108, 134, 195, 149]1
text [108, 149, 195, 164]1
text [108, 164, 195, 179]1
text [108, 179, 195, 194]1
text [108, 194, 195, 209]1
text [108, 209, 195, 224]1
text [108, 224, 195, 239]1
text [108, 239, 195, 254]1
text [108, 254, 195, 269]1
text [108, 269, 195, 284]1
text [108, 284, 195, 299]1
text [108, 299, 195, 314]1
text [108, 314, 195, 329]1
text [108, 329, 195, 344]1
text [108, 344, 195, 359]1
text [108, 359, 195, 374]1
text [108, 374, 195, 389]1
text [108, 389, 195, 404]1
text [108, 404, 195, 419]1
text [108, 419, 195, 434]1
text [108, 434, 195, 449]1
text [108, 449, 195, 464]1
text [108, 464, 195, 479]1
text [108, 479, 195, 494]1
text [108, 494, 195, 509]1
text [108, 509, 195, 524]1
text [108, 524, 195, 539]1
text [108, 539, 195, 554]1
text [108, 554, 195, 569]1
text [108, 569, 195, 584]1
text [108, 584, 195, 599]1
text [108, 599, 195, 614]1
text [108, 614, 195, 629]1
text [108, 629, 195, 644]1
text [108, 644, 195, 659]1
text [108, 659, 195, 674]1
text [108, 674, 195, 689]1
text [108, 689, 195, 704]1
text [108, 704, 195, 719]1
text [108, 719, 195, 734]1
text [108, 734, 195, 749]1
text [108, 749, 195, 764]1
text [108, 764, 195, 779]1
text [108, 779, 195, 794]1
text [108, 794, 195, 809]1
text [108, 809, 195, 824]1
text [108, 824, 195, 839]1
text [108, 839, 195, 854]1
text [108, 854, 195, 869]1
text [108, 869, 195, 884]1
text [108, 884, 195, 899]1
text [108, 899, 195, 914]1
text [108, 914, 195, 929]1
text [108, 929, 195, 944]1
text [108, 944, 195, 959]1
text [108, 959, 195, 974]1
text [108, 974, 195, 989]1
text [108, 989, 195, 994]1
text [108, 994, 195, 999]1
text [108, 0, 195, 14]1
text [108, 14, 195, 29]1
text [108, 29, 195, 44]1
text [108, 44, 195, 59]1
text [108, 59, 195, 74]1
text [108, 74, 195, 89]1
text [108, 89, 195, 104]1
text [108, 104, 195, 119]1
text [108, 119, 195, 134]1
text [108, 134, 195, 149]1
text [108, 149, 195, 164]1
text [108, 164, 195, 179]1
text [108, 179, 195, 194]1
text [108, 194, 195, 209]1
text [108, 209, 195, 224]1
text [108, 224, 195, 239]1
text [108, 239, 195, 254]1
text [108, 254, 195, 269]1
text [108, 269, 195, 284]1
text [108, 284, 195, 299]1
text [108, 299, 195, 314]1
text [108, 314, 195, 329]1
text [108, 329, 195, 344]1
text [108, 344, 195, 359]1
text [108, 359
